field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,NVG,URB,FOR,GRS,CULTIR,CULTRF,CULT,WATER
27,4265,Geranium lucidum,11.957232,58.690058,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428948864,NA,HUMAN_OBSERVATION,1978,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.512000024,75.93680573,14.2737751,0.183826104,9.27741909,9.093592644,0
28,4268,Geranium lucidum,12.383716,58.90975,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428963440,NA,HUMAN_OBSERVATION,1978,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.289499998,75.24902344,14.86359787,0.107391402,6.597878933,6.490487576,3
29,4414,Geranium lucidum,12.325802,58.730928,"cdround,gass84",SWE,NA,PRESENT,250,ArtDatabanken,1428927680,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.377599984,69.97525787,15.97585392,0.506844401,9.677087784,9.170243263,3.994199991
30,4417,Geranium lucidum,12.276026,58.666228,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428987256,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.541699946,37.47839737,15.60955238,2.948132038,44.37034988,41.42221832,2
31,4418,Geranium lucidum,12.298763,58.67853,"cdround,gass84",SWE,NA,PRESENT,500,ArtDatabanken,1428987290,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.377599984,69.97525787,15.97585392,0.506844401,9.677087784,9.170243263,3.994199991
32,4419,Geranium lucidum,12.278173,58.708157,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428987317,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.377599984,69.97525787,15.97585392,0.506844401,9.677087784,9.170243263,3.994199991
33,4420,Geranium lucidum,12.258644,58.636996,gass84,SWE,NA,PRESENT,250,ArtDatabanken,1428987353,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.541699946,37.47839737,15.60955238,2.948132038,44.37034988,41.42221832,2
34,4430,Geranium lucidum,12.381749,58.768187,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428950123,NA,HUMAN_OBSERVATION,1972,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.368899971,69.95464325,16.57718849,0.657506824,9.099268913,8.441761971,4
35,4431,Geranium lucidum,14.138018,57.865126,"cdround,gass84",SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246061338,NA,HUMAN_OBSERVATION,1972,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,10.46119976,18.79488373,10.70807743,2.447314978,20.03583908,17.58852387,40
36,4432,Geranium lucidum,-2.168078,51.77505,fpwktinv,GBR,NA,PRESENT,707.1,Gloucestershire Centre for Environmental Records,2933344162,NA,HUMAN_OBSERVATION,1972,NA,NA,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,6.309999943,2.770389319,59.01808167,0.02259771,31.90152931,31.87893105,0
