field_1,field_1_1,species,decimallon,decimallat,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa
"337","527",Butomus umbellatus,-73.740875000000003,45.602294999999998,NA,CAN,NA,PRESENT,"16",iNaturalist,"3090620795",https://www.inaturalist.org/observations/54074262,HUMAN_OBSERVATION,"2020","7","23",2020-07-23,WGS84
"369","583",Butomus umbellatus,-84.027316999999996,43.337668000000001,cdround,USA,NA,PRESENT,"184",iNaturalist,"2850671567",https://www.inaturalist.org/observations/56276082,HUMAN_OBSERVATION,"2020","8","7",2020-08-07,WGS84
"376","592",Butomus umbellatus,-95.781491000000003,50.372596999999999,cdround,CAN,NA,PRESENT,"9",iNaturalist,"2850742980",https://www.inaturalist.org/observations/56585694,HUMAN_OBSERVATION,"2020","8","15",2020-08-15,WGS84
"379","597",Butomus umbellatus,-83.450635000000005,42.528849000000001,cdround,USA,NA,PRESENT,"220",iNaturalist,"2850754391",https://www.inaturalist.org/observations/55527770,HUMAN_OBSERVATION,"2020","8","5",2020-08-05,WGS84
"416","642",Butomus umbellatus,-73.259095000000002,44.228119999999997,NA,USA,NA,PRESENT,"5",iNaturalist,"2851116252",https://www.inaturalist.org/observations/56749040,HUMAN_OBSERVATION,"2020","8","16",2020-08-16,WGS84
"435","666",Butomus umbellatus,-88.035804999999996,42.924661000000000,cdround,USA,NA,PRESENT,"5",iNaturalist,"2851276003",https://www.inaturalist.org/observations/56664479,HUMAN_OBSERVATION,"2020","8","16",2020-08-16,WGS84
"449","691",Butomus umbellatus,-73.242679999999993,44.920762000000003,cdround,USA,NA,PRESENT,"5",iNaturalist,"2856764623",https://www.inaturalist.org/observations/57129976,HUMAN_OBSERVATION,"2020","8","21",2020-08-21,WGS84
"450","692",Butomus umbellatus,-73.319982999999993,44.149856000000000,cdround,USA,NA,PRESENT,"5",iNaturalist,"2856799383",https://www.inaturalist.org/observations/57674728,HUMAN_OBSERVATION,"2020","8","26",2020-08-26,WGS84
"456","701",Butomus umbellatus,-83.450678999999994,42.527312999999999,cdround,USA,NA,PRESENT,"2",iNaturalist,"2859912986",https://www.inaturalist.org/observations/58077273,HUMAN_OBSERVATION,"2020","8","30",2020-08-30,WGS84
"458","705",Butomus umbellatus,-83.225784000000004,42.547277999999999,cdround,USA,NA,PRESENT,"5",iNaturalist,"2859961783",https://www.inaturalist.org/observations/57929411,HUMAN_OBSERVATION,"2020","8","29",2020-08-29,WGS84
"465","718",Butomus umbellatus,-78.980129000000005,43.058267000000001,cdround,USA,NA,PRESENT,"4",iNaturalist,"2860161647",https://www.inaturalist.org/observations/57859622,HUMAN_OBSERVATION,"2020","8","28",2020-08-28,WGS84
"469","722",Butomus umbellatus,-76.404929999999993,42.476587000000002,cdround,USA,NA,PRESENT,"50",iNaturalist,"2864864034",https://www.inaturalist.org/observations/59864813,HUMAN_OBSERVATION,"2020","8","29",2020-08-29,WGS84
"472","729",Butomus umbellatus,-73.800826000000001,45.252848999999998,cdround,CAN,NA,PRESENT,"173",iNaturalist,"2873931490",https://www.inaturalist.org/observations/58120270,HUMAN_OBSERVATION,"2020","8","30",2020-08-30,WGS84
"479","741",Butomus umbellatus,-76.148674999999997,44.068283000000001,cdround,USA,NA,PRESENT,"7",iNaturalist,"2988295740",https://www.inaturalist.org/observations/62730710,HUMAN_OBSERVATION,"2020","8","26",2020-08-26,WGS84
"481","743",Butomus umbellatus,-96.596656999999993,50.570138999999998,cdround,CAN,NA,PRESENT,"12",iNaturalist,"2988527607",https://www.inaturalist.org/observations/56938931,HUMAN_OBSERVATION,"2020","8","19",2020-08-19,WGS84
"485","752",Butomus umbellatus,-71.919944000000001,45.391378000000003,cdround,CAN,NA,PRESENT,"10",iNaturalist,"3008463709",https://www.inaturalist.org/observations/66789365,HUMAN_OBSERVATION,"2020","8","27",2020-08-27,WGS84
"490","759",Butomus umbellatus,-82.533253999999999,42.657110000000003,cdround,USA,NA,PRESENT,"395",iNaturalist,"3013870491",https://www.inaturalist.org/observations/57940704,HUMAN_OBSERVATION,"2020","8","29",2020-08-29,WGS84
"491","760",Butomus umbellatus,-73.338949999999997,44.110396999999999,cdround,USA,NA,PRESENT,"8",iNaturalist,"3013890485",https://www.inaturalist.org/observations/57390605,HUMAN_OBSERVATION,"2020","8","23",2020-08-23,WGS84
"493","762",Butomus umbellatus,-75.977655999999996,44.288725999999997,cdround,USA,NA,PRESENT,"5",iNaturalist,"3013943521",https://www.inaturalist.org/observations/59154285,HUMAN_OBSERVATION,"2020","8","10",2020-08-10,WGS84
"494","763",Butomus umbellatus,-83.809027999999998,42.333595000000003,cdround,USA,NA,PRESENT,"16",iNaturalist,"3013982764",https://www.inaturalist.org/observations/67113552,HUMAN_OBSERVATION,"2020","8","23",2020-08-23,WGS84
