field_1,fid,SciName,decimallon,decimallat,issues,countryCod,occurrence,coordinate,institutio,references,basisOfRec,year,month,day,eventDate,geodeticDa
132,8394068,Geranium lucidum,-123.435,44.293,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,6,17,6/17/2015,WGS84
133,8394330,Geranium lucidum,-123.576,44.3044,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,1,15,1/15/2007,WGS84
134,8395958,Geranium lucidum,-122.403,44.5828,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,3,17,3/17/2008,WGS84
135,8396546,Geranium lucidum,-122.816,43.671,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,8,16,8/16/2015,WGS84
136,8399922,Geranium lucidum,-123.668,44.3368,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,7,16,7/16/2016,WGS84
137,8400892,Geranium lucidum,-123.529,45.2179,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2011,11,13,11/13/2011,WGS84
138,8400947,Geranium lucidum,-123.508,45.2341,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,29,10/29/2013,WGS84
139,8400952,Geranium lucidum,-123.572,45.226,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,23,10/23/2013,WGS84
140,8400978,Geranium lucidum,-123.488,45.3002,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,20,11/20/2013,WGS84
141,8400996,Geranium lucidum,-123.544,45.2772,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,20,11/20/2013,WGS84
142,8401027,Geranium lucidum,-123.578,45.2677,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2010,7,14,7/14/2010,WGS84
143,8401044,Geranium lucidum,-123.544,45.283,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,20,11/20/2013,WGS84
144,8401056,Geranium lucidum,-123.575,45.2729,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2010,7,14,7/14/2010,WGS84
145,8401124,Geranium lucidum,-123.519,45.458,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,27,11/27/2013,WGS84
146,8401133,Geranium lucidum,-123.584,45.2647,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2010,7,14,7/14/2010,WGS84
147,8401134,Geranium lucidum,-123.492,45.2928,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,20,11/20/2013,WGS84
148,8401254,Geranium lucidum,-122.77,43.8147,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2006,3,14,3/14/2006,WGS84
149,8401515,Geranium lucidum,-123.377,43.8744,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,6,30,6/30/2015,WGS84
150,8401520,Geranium lucidum,-122.962,43.7782,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,7,29,7/29/2015,WGS84
151,8401706,Geranium lucidum,-123.446,44.0268,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2005,6,13,6/13/2005,WGS84
152,8401823,Geranium lucidum,-123.496,44.2447,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,6,24,6/24/2013,WGS84
153,8401826,Geranium lucidum,-123.174,44.038,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,14,1/14/2001,WGS84
154,8401871,Geranium lucidum,-123.26,43.816,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,5,19,5/19/2014,WGS84
155,8401976,Geranium lucidum,-123.661,43.9859,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,1,13,1/13/2003,WGS84
156,8402002,Geranium lucidum,-123.271,43.1034,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,4,13,4/13/2016,WGS84
157,8403200,Geranium lucidum,-123.487,44.9847,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,7,21,7/21/2016,WGS84
158,8403226,Geranium lucidum,-123.499,44.9838,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,7,21,7/21/2016,WGS84
159,8403290,Geranium lucidum,-123.521,44.9911,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,6,16,6/16/2007,WGS84
160,8403303,Geranium lucidum,-123.51,44.9902,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,5,16,5/16/2007,WGS84
161,8403349,Geranium lucidum,-123.549,44.9931,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,6,16,6/16/2007,WGS84
162,8403380,Geranium lucidum,-123.563,44.9901,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,6,16,6/16/2007,WGS84
163,8403446,Geranium lucidum,-123.577,44.9945,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,12,16,12/16/2007,WGS84
164,8403591,Geranium lucidum,-123.526,45.1096,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,21,10/21/2013,WGS84
165,8403615,Geranium lucidum,-123.481,45.1865,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,10,27,10/27/2014,WGS84
166,8403635,Geranium lucidum,-123.492,45.1881,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,10,27,10/27/2014,WGS84
167,8403648,Geranium lucidum,-123.566,45.1472,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,19,10/19/2013,WGS84
168,8403679,Geranium lucidum,-123.499,45.1958,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,10,27,10/27/2014,WGS84
169,8403750,Geranium lucidum,-123.544,45.1965,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2011,8,13,8/13/2011,WGS84
170,8403762,Geranium lucidum,-123.532,45.2125,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,18,10/18/2013,WGS84
171,8403787,Geranium lucidum,-123.565,45.2162,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,23,10/23/2013,WGS84
172,8403790,Geranium lucidum,-123.362,45.3429,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2010,1,13,1/13/2010,WGS84
173,8403806,Geranium lucidum,-123.307,45.3856,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,9,13,9/13/2009,WGS84
174,8403841,Geranium lucidum,-123.29,45.4233,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,11,17,11/17/2014,WGS84
175,8403845,Geranium lucidum,-123.251,45.4313,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,11,18,11/18/2014,WGS84
176,8403881,Geranium lucidum,-123.333,45.4262,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,8,13,8/13/2009,WGS84
177,8403904,Geranium lucidum,-123.335,45.4297,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,8,13,8/13/2009,WGS84
178,8403955,Geranium lucidum,-123.351,45.3505,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,11,29,11/29/2014,WGS84
179,8403958,Geranium lucidum,-123.352,45.3355,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2010,1,13,1/13/2010,WGS84
180,8403995,Geranium lucidum,-123.306,45.4356,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,2,13,2/13/2009,WGS84
181,8404126,Geranium lucidum,-123.026,42.4572,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,4,20,4/20/2017,WGS84
182,8404426,Geranium lucidum,-123.043,42.2601,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,9,16,9/16/2004,WGS84
183,8404861,Geranium lucidum,-123.553,44.3049,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,8,15,8/15/2007,WGS84
184,8404939,Geranium lucidum,-123.686,44.3074,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,3,16,3/16/2008,WGS84
185,8405949,Geranium lucidum,-123.537,45.2783,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,27,11/27/2013,WGS84
186,8405951,Geranium lucidum,-123.551,45.2791,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,20,11/20/2013,WGS84
187,8405966,Geranium lucidum,-123.501,45.2894,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,20,11/20/2013,WGS84
188,8405969,Geranium lucidum,-123.523,45.2308,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,10,29,10/29/2013,WGS84
189,8405978,Geranium lucidum,-123.558,45.277,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,24,11/24/2013,WGS84
190,8405981,Geranium lucidum,-123.565,45.2762,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,24,11/24/2013,WGS84
191,8406016,Geranium lucidum,-123.025,43.7293,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,3,14,3/14/2016,WGS84
192,8406097,Geranium lucidum,-123.182,43.8725,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,5,17,5/17/2017,WGS84
193,8406243,Geranium lucidum,-123.436,44.0362,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,7,28,7/28/2014,WGS84
194,8406292,Geranium lucidum,-123.134,43.9011,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2005,1,14,1/14/2005,WGS84
195,8406324,Geranium lucidum,-123.47,44.1908,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,5,15,5/15/2014,WGS84
196,8406553,Geranium lucidum,-123.362,43.9247,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,11,17,11/17/2004,WGS84
197,8406620,Geranium lucidum,-122.866,44.042,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,6,19,6/19/2017,WGS84
198,8406713,Geranium lucidum,-123.104,43.9023,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2006,8,17,8/17/2006,WGS84
